title,original_title,budget,original_language,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,genres,spoken_languages,production_countries,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization
"Before, Now & Then",Nana,0,su,https://fourcoloursfilms.com/before-now-then-nana/,"Set against Indonesia’s turbulent post-independence years in the 1960s, the story revolves around the domestic life of a woman whose personal life has been completely overturned by the political turmoil.",2.458,103,0,2022-07-08,6.8,11,"Horror, Thriller",English,United States of America,https://www.nytimes.com/2023/08/24/movies/before-now-then-review.html,"Set amid the upheaval of 1960s Indonesia, this drama tells the story of a woman caught in an unhappy marriage and haunted by the traumas of war.",The New York Times,"subject: Movies;creative_works: Before, Now & Then (Movie);persons: Andini, Kamila;persons: Salma, Happy;persons: Basuki, Laura;",2023-08-24T11:00:11+0000,312,"‘Before, Now & Then’ Review: Love and War",,,"Before, Now &amp; Then",,,,By Devika Girish,
Alcarràs,Alcarràs,0,ca,https://www.alcarras-film.com/,"In a small village in Catalonia, the peach farmers of the Solé family spend every summer together picking fruit from their orchard. But when plans arise to install solar panels and cut down trees, the members of this tight-knit group suddenly face eviction – and the loss of far more than their home.",15.095,120,0,2022-04-29,6.911,163,"Horror, Thriller",English,United States of America,https://www.nytimes.com/2023/01/05/movies/alcarras-review.html,"In this naturalistic drama from Spain, a family confronts the impending loss of its generations-old farm.",The New York Times,"subject: Movies;persons: Simon, Carla;creative_works: Alcarras (Movie);",2023-01-05T12:00:03+0000,306,‘Alcarràs’ Review: Labor of Love,,,Alcarràs,,,,By Devika Girish,
Falling Inn Love,Falling Inn Love,0,en,https://www.netflix.com/title/80999781,"When a San Francisco exec wins a New Zealand inn, she ditches city life to remodel and flip the rustic property with help from a handsome contractor.",12.907,98,0,2019-08-29,6.524,1101,"Horror, Thriller",English,United States of America,https://www.nytimes.com/2019/08/29/movies/falling-inn-love-review.html,"It’s hard to find a reliable, talented, reasonably priced, eco-friendly contractor these days.",The New York Times,"subject: Movies;organizations: Netflix Inc;persons: Kumble, Roger;persons: Milian, Christina;persons: Demos, Adam;creative_works: Falling Inn Love (Movie);",2019-08-29T14:56:44+0000,374,‘Falling Inn Love’ Review: A Prize That Needs Some Work,Streaming Movie Review,,A Fine Romance to Watch While Sorting Socks,,,,By Helen T. Verongos,
The Sun Is Also a Star,The Sun Is Also a Star,9000000,en,https://www.thesunisalsoastarmovie.com,"Two young New Yorkers begin to fall in love over the course of a single day, as a series of potentially life-altering meetings loom over their heads - hers concerning her family’s deportation to Jamaica, and his concerning an education at Dartmouth.",10.607,100,6800000,2019-05-16,6.988,562,"Horror, Thriller",English,United States of America,https://www.nytimes.com/2019/05/15/movies/the-sun-is-also-a-star-review.html,"Yara Shahidi and Charles Melton play teenagers falling in love on a hectic, sunny day in New York.",The New York Times,"subject: Movies;creative_works: The Sun Is also a Star (Movie);persons: Russo-Young, Ry;persons: Shahidi, Yara (2000- );persons: Yoon, Nicola (Author);persons: Melton, Charles (1991- );",2019-05-15T16:01:27+0000,697,"‘The Sun Is Also a Star’ Review: A Charming, if Generic, Adolescent Love Story",,,A Beautiful Day for Young Hearts,,,,By A.O. Scott,
The Creator,The Creator,80000000,en,https://www.20thcenturystudios.com/movies/the-creator,"Amid a future war between the human race and the forces of artificial intelligence, a hardened ex-special forces agent grieving the disappearance of his wife, is recruited to hunt down and kill the Creator, the elusive architect of advanced AI who has developed a mysterious weapon with the power to end the war—and mankind itself.",213.381,134,104000000,2023-09-27,7.142,2029,"Horror, Thriller",English,United States of America,https://www.nytimes.com/2023/09/28/movies/the-creator-review-john-david-washington.html,"In this hectic, futuristic action film, John David Washington hunts down a threatening artificial intelligence with the baby face of a child.",The New York Times,"subject: Movies;creative_works: The Creator (Movie);persons: Edwards, Gareth (1975- );persons: Washington, John David (1984- );",2023-09-28T11:00:08+0000,676,‘The Creator’ Review: Or How I Learned to Stop Worrying and Love A.I.,,,On the Lam With a Baby-Faced Robot,,,,By Nicolas Rapold,
Book of Love,Book of Love,0,en,,"Henry, an English writer who has written a new book that has become a failure in the U.K, gets notified that the dull book has been highly trending over in Mexico. Little does he know that Maria, a Spanish translator, turned the book into an erotic novel. Henry and Maria then swerve around Mexico to do a book tour and go through a wind of events.",11.824,106,398876,2022-01-06,5.6,113,"Horror, Thriller",English,United States of America,https://www.nytimes.com/2022/02/04/movies/book-of-love-review.html,"Unbeknown to the author of an uninspired romance novel, the book takes a sharp turn into erotic territory in its Spanish-language release.",The New York Times,"subject: Movies;persons: Claflin, Sam;persons: Cal y Mayor, Analeine;creative_works: Book of Love (Movie);",2022-02-04T05:01:04+0000,269,‘Book of Love’ Review: Lust (Eventually) in Translation,,,Book of Love,,,,By Natalia Winkelman,
My Psychedelic Love Story,My Psychedelic Love Story,0,en,https://www.sho.com/titles/3497302/my-psychedelic-love-story,An examination of the notorious high priest of LSD Timothy Leary through the eyes of his famed lover Joanna Harcourt-Smith.,1.773,107,0,2020-10-22,6.286,7,"Horror, Thriller",English,United States of America,https://www.nytimes.com/2020/11/26/movies/my-psychedelic-love-story-review.html,"This Errol Morris documentary explores the relationship between the LSD guru and Joanna Harcourt-Smith, a woman who likened herself to Mata Hari.",The New York Times,"subject: Documentary Films and Programs;creative_works: My Psychedelic Love Story (Movie);persons: Harcourt-Smith, Joanna (1946-2020);persons: Morris, Errol;subject: LSD (Lysergic Acid Diethylamide);subject: Content Type: Personal Profile;",2020-11-26T12:00:05+0000,599,‘My Psychedelic Love Story’ Review: On the Run With Timothy Leary,Critic’s Pick,,Acid and Romance: On the Run With Timothy Leary,,,,By Glenn Kenny,
How to Talk to Girls at Parties,How to Talk to Girls at Parties,0,en,https://a24films.com/films/how-to-talk-to-girls-at-parties,"In 1970s London, a teenage outsider named Enn falls in love with a rebellious alien girl named Zan, who has come to Earth for a party. Together, they navigate the complexities of intergalactic culture and the trials of first love.",11.853,103,0,2017-10-06,6.039,355,"Horror, Thriller",English,United States of America,https://www.nytimes.com/2018/05/24/movies/how-to-talk-to-girls-at-parties-review.html,John Cameron Mitchell’s loony romantic comedy encourages young love to bloom in the soil of an alien visitation.,The New York Times,"subject: Movies;creative_works: How to Talk to Girls at Parties (Movie);persons: Mitchell, John Cameron;persons: Fanning, Elle;persons: Sharp, Alexander;",2018-05-24T11:00:01+0000,458,Review: An Alien Teaches a Teenage Punk ‘How to Talk to Girls at Parties’,,,Otherworldly Love in a Punk-Rock World,,,,By Jeannette Catsoulis,
All the Bright Places,All the Bright Places,0,en,https://www.netflix.com/title/80208802,Two teens facing personal struggles form a powerful bond as they embark on a cathartic journey chronicling the wonders of Indiana.,24.354,108,0,2020-02-28,7.664,2740,"Horror, Thriller",English,United States of America,https://www.nytimes.com/2020/02/28/movies/all-the-bright-places-review.html,Elle Fanning and Justice Smith breathe life into a film about mental illness and the healing power of love.,The New York Times,"subject: Movies;creative_works: All the Bright Places (Movie);persons: Haley, Brett;persons: Fanning, Elle;persons: Smith, Justice (1995- );organizations: Netflix Inc;",2020-02-28T08:01:07+0000,233,‘All the Bright Places’ Review: Love Amid Trauma,Streaming Movie Review,,A Refreshing Exploration of Mental Illness,,,,By Candice Frederick,
"Cyrano, My Love",Edmond,0,fr,http://roadsideattractions.com/filmography/cyranomylove,"Paris, France, December 1897. The young playwright Edmond Rostand feels like a failure. Inspiration has abandoned him. Married and father of two children, desperate and penniless, he persuades the great actor Constant Coquelin to perform the main role in his new play. But there is a problem: Coquelin wants to premiere it at Christmas and Edmond has not written a single word.",9.71,113,0,2018-11-10,7.5,471,"Horror, Thriller",English,United States of America,https://www.nytimes.com/2019/10/17/movies/cyrano-my-love-review.html,This superficial take on the writing and initial staging of “Cyrano de Bergerac” is a whirlwind of soapy declarations and backstage chaos.,The New York Times,"subject: Movies;creative_works: Cyrano, My Love (Movie);persons: Michalik, Alexis;",2019-10-17T11:00:03+0000,291,"‘Cyrano, My Love’ Review: A Nose for Romance",,,"Cyrano, My Love",,,,By Jeannette Catsoulis,
Wife of a Spy,スパイの妻,0,ja,https://intl.nikkatsu.com/sales/358.html,"It’s 1940, and the population of Japan is divided over its entry into World War II. Satoko, the wife of a fabric merchant, is devoted to her husband but is beginning to suspect he’s up to something. Soon she allows herself to be drawn into a game in which she enigmatically conceals her intentions.",9.513,114,0,2020-10-16,6.507,76,"Horror, Thriller",English,United States of America,https://www.nytimes.com/2021/09/16/movies/wife-of-a-spy-review-trust-or-fear-in-love-and-war.html,"In this latest work by Kiyoshi Kurosawa, a Japanese couple’s relationship is shaped by the forces of churning nationalism that surround it.",The New York Times,"subject: Movies;persons: Kurosawa, Kiyoshi;creative_works: Wife of a Spy (Movie);",2021-09-16T11:00:07+0000,448,‘Wife of a Spy’ Review: Trust or Fear in Love and War?,Critic’s Pick,,Marriage Amid Nationalism,,,,By Glenn Kenny,
The Mountain Between Us,The Mountain Between Us,35000000,en,http://MountainBetweenUs.com,"Stranded on a mountain after a tragic plane crash, two strangers must work together to endure the extreme elements of the remote, snow-covered terrain. When they realize help is not coming, they embark on a perilous journey across hundreds of miles of wilderness, pushing each other to survive and discovering their inner strength.",22.984,109,62832209,2017-10-05,6.629,2246,"Horror, Thriller",English,United States of America,https://www.nytimes.com/2017/10/05/movies/the-mountain-between-us-review-kate-winslet-idris-elba.html,Idris Elba and Kate Winslet crash into a mountain — and each other — in this drama.,The New York Times,"subject: Movies;creative_works: The Mountain Between Us (Movie);persons: ABU-ASSAD, HANY;persons: Elba, Idris;persons: Winslet, Kate;",2017-10-05T11:00:05+0000,272,Review: Love in a Cold Climate in ‘The Mountain Between Us’,,,The Mountain Between Us,,,,By Jeannette Catsoulis,
Hope Gap,Hope Gap,0,en,https://www.originpictures.co.uk/hope-gap,"Grace lives an idyllic life in a British seaside town, but her world soon comes crashing down when her husband of 29 years tells her he's leaving her for another woman. Through stages of shock, disbelief and anger -- and with support from her son -- Grace ultimately regains her footing while learning it's never too late to be happy.",11.393,100,1136167,2019-10-03,6.335,118,"Horror, Thriller",English,United States of America,https://www.nytimes.com/2020/03/05/movies/hope-gap-review-a-thin-line-between-love-and-war.html,Annette Bening and Bill Nighy play a couple that has lost its way after 29 years of marriage.,The New York Times,"subject: Movies;persons: Bening, Annette;persons: Nighy, Bill;persons: Nicholson, William (1948- );creative_works: Hope Gap (Movie);",2020-03-05T12:00:03+0000,257,‘Hope Gap’ Review: A Thin Line Between Love and War,,,Hope Gap,,,,By Aisha Harris,
How to Train Your Dragon: The Hidden World,How to Train Your Dragon: The Hidden World,129000000,en,https://www.howtotrainyourdragon.com/,"As Hiccup fulfills his dream of creating a peaceful dragon utopia, Toothless’ discovery of an untamed, elusive mate draws the Night Fury away. When danger mounts at home and Hiccup’s reign as village chief is tested, both dragon and rider must make impossible decisions to save their kind.",86.276,104,524580592,2019-01-03,7.752,5976,"Horror, Thriller",English,United States of America,https://www.nytimes.com/2019/02/20/movies/how-to-train-your-dragon-hidden-world-review.html,The third in this franchise concerns the exigencies that poor Hiccup must face as the leader of Berk.,The New York Times,"subject: Movies;persons: DeBlois, Dean;persons: Baruchel, Jay;persons: ABRAHAM, F MURRAY;persons: Ferrera, America;creative_works: How to Train Your Dragon: The Hidden World (Movie);",2019-02-21T00:02:36+0000,531,‘How to Train Your Dragon: The Hidden World’ Review: A Series Scales Up,,,Love Takes Wing Amid Trouble in Utopia,,,,By Ben Kenigsberg,
Cassandro,Cassandro,0,en,https://www.amazon.com/dp/B0B8PG5K3G,"The true story of Saúl Armendáriz, a gay amateur wrestler from El Paso that rises to international stardom after he creates the character Cassandro, the “Liberace of Lucha Libre.” In the process, he upends not just the macho wrestling world but also his own life.",9.941,107,0,2023-09-14,6.791,91,"Horror, Thriller",English,United States of America,https://www.nytimes.com/2023/09/21/movies/cassandro-review.html,Gael García Bernal plays a flamboyant figure taking the world of Mexican professional wrestling by storm in this underdog drama directed by Roger Ross Williams.,The New York Times,"subject: Movies;creative_works: Cassandro (Movie);persons: Williams, Roger Ross;persons: Garcia Bernal, Gael;persons: Castillo, Raul;persons: Teague, David W (1964- );persons: Colindrez, Roberta;",2023-09-21T09:00:41+0000,592,‘Cassandro’ Review: Love and Lucha Libre,,,Fighting to Be Free  In the Ring and Out,,,,By Natalia Winkelman,
Monday,Monday,0,en,https://www.monday.movie,"A spark on a Friday can lead to a sizzling weekend fling, but what happens when you get to the inevitable Monday?",10.002,116,0,2020-09-11,6.651,156,"Horror, Thriller",English,United States of America,https://www.nytimes.com/2021/04/15/movies/monday-review.html,"Fiery physical contact keeps an expat couple together in Greece, and the sex scenes are enough for a half-dozen movies.",The New York Times,"subject: Movies;persons: Papadimitropoulos, Argyris;persons: Stan, Sebastian;persons: Gough, Denise (1980- );creative_works: Monday (Movie);",2021-04-15T11:00:08+0000,349,‘Monday’ Review: A Year of Love and Its Hangovers,,,Monday,,,,By Glenn Kenny,
My Policeman,My Policeman,0,en,https://www.amazon.com/dp/B09Y8SHDPD,"In the late 1990s, the arrival of elderly invalid Patrick into Marion and Tom’s home triggers the exploration of seismic events from 40 years previous: the passionate relationship between Tom and Patrick at a time when homosexuality was illegal.",11.515,113,0,2022-10-20,7.738,609,"Horror, Thriller",English,United States of America,https://www.nytimes.com/2022/10/20/movies/my-policeman-review.html,"A schoolteacher, her police officer husband and his lover deny each other romantic satisfaction in this dismal melodrama.",The New York Times,"subject: Movies;creative_works: My Policeman (Movie);persons: Grandage, Michael;",2022-10-20T16:52:51+0000,303,"‘My Policeman’ Review: Two Love Affairs, Equally Tragic",,,My Policeman,,,,By Teo Bugbee,
